This list contains all games supported by FB Alpha.

6006 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| ncombath	|  	| Ninja Combat (NGH-009)				| ncombat	| 1990	| Alpha Denshi C| Neo Geo MVS	| 					|
| ncombat	|  	| Ninja Combat (NGM-009)				| 		| 1990	| Alpha Denshi C| Neo Geo MVS	| 					|
| ncommand	|  	| Ninja Commando					| 		| 1992	| Alpha Denshi C| Neo Geo MVS	| 					|
| ninjemak	|  	| Ninja Emaki (US)					| 		| 1986	| Nichibutsu	| Miscellaneous	| 					|
| gaiden	|  	| Ninja Gaiden (US)					| shadoww	| 1988	| Tecmo		| Miscellaneous	| 					|
| kazan		|  	| Ninja Kazan (World)					| 		| 1988	| Jaleco	| Mega System 1	| 					|
| ninjamas	|  	| Ninja Master's - haoh-ninpo-cho			| 		| 1996	| ADK / SNK	| Neo Geo MVS	| 					|
| nprinces	|  	| Ninja Princess (315-5051, 64k Ver. bootleg?)		| seganinj	| 1985	| bootleg?	| System 1	| 					|
| nprincesb	|  	| Ninja Princess (315-5051?, 128k Ver. bootleg?)	| seganinj	| 1985	| bootleg?	| System 1	| 					|
| nprinceso	|  	| Ninja Princess (315-5098, 128k Ver.)			| seganinj	| 1985	| Sega		| System 1	| 					|
| nprincesu	|  	| Ninja Princess (64k Ver. not encrypted)		| seganinj	| 1985	| Sega		| System 1	| 					|
| ryukendn	|  	| Ninja Ryukenden (Japan, set 1)			| shadoww	| 1989	| Tecmo		| Miscellaneous	| 					|
| ryukendna	|  	| Ninja Ryukenden (Japan, set 2)			| shadoww	| 1989	| Tecmo		| Miscellaneous	| 					|
| nspirit	|  	| Ninja Spirit						| 		| 1988	| Irem		| Irem M72	| 					|
| ninjakd2	|  	| Ninja-Kid II / NinjaKun Ashura no Shou (set 1)	| 		| 1987	| UPL		| Miscellaneous	| 					|
| ninjakd2a	|  	| Ninja-Kid II / NinjaKun Ashura no Shou (set 2, bootleg| ninjakd2	| 1987	| UPL		| Miscellaneous	| 					|
| ninjakd2b	|  	| Ninja-Kid II / NinjaKun Ashura no Shou (set 3, bootleg| ninjakd2	| 1987	| UPL		| Miscellaneous	| 					|
| ninjakd2c	|  	| Ninja-Kid II / NinjaKun Ashura no Shou (set 4)	| ninjakd2	| 1987	| UPL		| Miscellaneous	| 					|
| ninjakun	|  	| Ninjakun Majou no Bouken				| 		| 1984	| UPL (Taito lic| Miscellaneous	| 					|
| nitrobal	|  	| Nitro Ball (World, set 1)				| 		| 1992	| Data East Corp| DECO IC16	| 					|
| nitrobala	|  	| Nitro Ball (World, set 2)				| nitrobal	| 1992	| Data East Corp| DECO IC16	| 					|
| nmk004	|   NW	| NMK004 Internal ROM					| 		| 1990	| N M K Corporat| NMK16		| internal rom				|
| nob		|   NW	| Noboranka (Japan)					| 		| 1986	| Data East Corp| System 1	| 					|
| nobb		|  	| Noboranka (Japan, bootleg)				| nob		| 1986	| bootleg	| System 1	| 					|
| nost		|  	| Nostradamus						| 		| 1993	| Face		| LINDA		| 					|
| nostj		|  	| Nostradamus (Japan)					| nost		| 1993	| Face		| LINDA		| 					|
| nostk		|  	| Nostradamus (Korea)					| nost		| 1993	| Face		| LINDA		| 					|
| nouryoku	|  	| Nouryoku Koujou Iinkai				| 		| 1995	| Tecmo		| NMK16		| 					|
| nova2001	|  	| Nova 2001 (Japan)					| 		| 1983	| UPL		| Miscellaneous	| 					|
| nova2001h	|  	| Nova 2001 (Japan, hack?)				| nova2001	| 1983	| UPL		| Miscellaneous	| 					|
| nova2001u	|  	| Nova 2001 (US)					| nova2001	| 1983	| UPL (Universal| Miscellaneous	| 					|
| nunchaku	|  	| Nunchackun						| ladymstr	| 1985	| Kaneko / Taito| Miscellaneous	| 					|
| nyanpani	|  	| Nyan Nyan Panic (Japan)				| kittenk	| 1988	| Konami	| GX712		| 					|
| cocean1a	|  	| Ocean to Ocean (Medal) (DECO Cassette MD) (No.10/Ver.1| 		| 1981	| Data East Corp| Cassette Syste| 					|
| cocean6b	|  	| Ocean to Ocean (Medal) (DECO Cassette MD) (No.10/Ver.6| cocean1a	| 1981	| Data East Corp| Cassette Syste| 					|
| oedfight	|  	| Oedo Fight (Japan Bloodshed Ver.)			| bloodwar	| 1994	| Kaneko	| Kaneko16	| 					|
| offtwallc	| D NW	| Off the Wall (2-player cocktail)			| offtwall	| 1991	| Atari Games	| Miscellaneous	| 					|
| offtwall	| D NW	| Off the Wall (2/3-player upright)			| 		| 1991	| Atari Games	| Miscellaneous	| 					|
| offensiv	|  	| Offensive (Spanish bootleg of Scramble)		| scramble	| 1981	| bootleg (Video| Galaxian	| 					|
| ohmygod	|  	| Oh My God!						| 		| 1993	| Atlus		| Miscellaneous	| 					|
| oisipuzl	|  	| Oishii Puzzle Ha Irimasenka				| 		| 1993	| Sunsoft / Atlu| Seta		| 					|
| olibochu	|  	| Oli-Boo-Chu						| 		| 1981	| Irem / GDI	| Miscellaneous	| 					|
| omega		|  	| Omega							| 		| 1986	| Nihon System	| Miscellaneous	| 					|
| omegab	|  	| Omega							| theend	| 19??	| bootleg?	| Galaxian	| 					|
| omegaf	|  	| Omega Fighter						| 		| 1989	| UPL		| Miscellaneous	| 					|
| omegafs	|  	| Omega Fighter Special					| omegaf	| 1989	| UPL		| Miscellaneous	| 					|
| omegrace	|  	| Omega Race (set 1)					| 		| 1981	| Midway	| Miscellaneous	| 					|
| omegrace2	|  	| Omega Race (set 2)					| omegrace	| 1981	| Midway	| Miscellaneous	| 					|
| omni		|  	| Omni							| pisces	| 19??	| bootleg	| Galaxian	| 					|
| onetwo	|  	| One + Two						| 		| 1997	| Barko		| Miscellaneous	| 					|
| onetwoe	|  	| One + Two (earlier)					| onetwo	| 1997	| Barko		| Miscellaneous	| 					|
| oneshot	|  	| One Shot One Kill					| 		| 1996	| Promat	| Miscellaneous	| 					|
| nmaster	|  	| Oni - The Ninja Master (Japan)			| metmqstr	| 1995	| Banpresto / Pa| Cave		| 					|
| onna34ro	|  	| Onna Sansirou - Typhoon Gal				| 		| 1985	| Taito		| Miscellaneous	| 					|
| onna34roa	|  	| Onna Sansirou - Typhoon Gal (bootleg)			| onna34ro	| 1985	| Taito		| Miscellaneous	| 					|
| coozumou	|  	| Oozumou - The Grand Sumo (DECO Cassette) (Japan)	| 		| 1984	| Data East Corp| Cassette Syste| 					|
| opaopan	|   NW	| Opa Opa (MC-8123, 317-0042)				| opaopa	| 1987	| Sega		| System E	| 					|
| opaopa	|   NW	| Opa Opa (Rev A, unprotected)				| 		| 1987	| Sega		| System E	| 					|
| opwolfb	|  	| Operation Bear					| opwolf	| 1987	| bootleg	| Taito Misc	| 					|
| othunderj	|  	| Operation Thunderbolt (Japan)				| othunder	| 1988	| Taito Corporat| Taito Misc	| 					|
| othunderjsc	|  	| Operation Thunderbolt (Japan, SC)			| othunder	| 1988	| Taito Corporat| Taito Misc	| 					|
| othunderuo	|  	| Operation Thunderbolt (US)				| othunder	| 1988	| Taito America | Taito Misc	| 					|
| othunderu	|  	| Operation Thunderbolt (US, rev 1)			| othunder	| 1988	| Taito America | Taito Misc	| 					|
| othundero	|  	| Operation Thunderbolt (World)				| othunder	| 1988	| Taito Corporat| Taito Misc	| 					|
| othunder	|  	| Operation Thunderbolt (World, rev 1)			| 		| 1988	| Taito Corporat| Taito Misc	| 					|
| opwolfj	|  	| Operation Wolf (Japan)				| opwolf	| 1987	| Taito Corporat| Taito Misc	| 					|
| opwolfjsc	|  	| Operation Wolf (Japan, SC)				| opwolf	| 1987	| Taito Corporat| Taito Misc	| 					|
| opwolfu	|  	| Operation Wolf (US)					| opwolf	| 1987	| Taito America | Taito Misc	| 					|
| opwolf	|  	| Operation Wolf (World, set 1)				| 		| 1987	| Taito Corporat| Taito Misc	| 					|
| opwolfa	|  	| Operation Wolf (World, set 2)				| opwolf	| 1987	| Taito Corporat| Taito Misc	| 					|
| opwolf3u	|  	| Operation Wolf 3 (US)					| opwolf3	| 1994	| Taito America | Taito Misc	| 					|
| opwolf3	|  	| Operation Wolf 3 (World)				| 		| 1994	| Taito Corporat| Taito Misc	| 					|
| orbitron	|  	| Orbitron						| 		| 19??	| Signatron USA	| Galaxian	| 					|
| orbs		|  	| Orbs (10/7/94 prototype?)				| 		| 1994	| American Sammy| Seta		| 					|
| ordynej	|  	| Ordyne (Japan)					| ordyne	| 1988	| Namco		| System 2	| 					|
| ordyneje	|  	| Ordyne (Japan, English Version)			| ordyne	| 1988	| Namco		| System 2	| 					|
| ordyne	|  	| Ordyne (World)					| 		| 1988	| Namco		| System 2	| 					|
| orlegend105k	|  	| Oriental Legend (V105, Korea)				| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegend111c	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V111, China)	| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegend111k	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V111, Korea)	| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegend111t	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V111, Taiwan)| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegendca	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V112 alt, Chi| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegende	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V112)	| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegendc	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V112, China)	| orlegend	| 1997	| IGS		| PolyGameMaster| 					|
| orlegend	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V126)	| 		| 1997	| IGS		| PolyGameMaster| 					|
| oldsplus	|  	| Oriental Legend 2 (Korea) / Xi You Shi E Zhuan Super P| 		| 2004	| IGS		| PolyGameMaster| Incomplete Dump			|
| olds100a	|  	| Oriental Legend Special - Xi Yo Gi Shi Re Zuang Super | olds		| 1998	| IGS		| PolyGameMaster| Imperfect Protection Emulation	|
| olds100	|  	| Oriental Legend Special - Xi Yo Gi Shi Re Zuang Super | olds		| 1998	| IGS		| PolyGameMaster| Imperfect Protection Emulation	|
| olds103t	|  	| Oriental Legend Special - Xi Yo Gi Shi Re Zuang Super | olds		| 2003	| IGS		| PolyGameMaster| 					|
| olds		|  	| Oriental Legend Super (V101, Korea)			| 		| 1999	| IGS		| PolyGameMaster| Imperfect Protection Emulation	|
| orius		|  	| Orius (ver UAA)					| xexex		| 1991	| Konami	| GX067		| 					|
| osman		|  	| Osman (World)						| 		| 1996	| Mitchell	| Simple 156	| 					|
| outrunb	|  	| Out Run (bootleg)					| outrun	| 1986	| bootleg	| Out Run	| 					|
| outrundxa	|  	| Out Run (deluxe sitdown earlier version)		| outrun	| 1986	| Sega		| Out Run	| 					|
| outrundx	|  	| Out Run (deluxe sitdown)				| outrun	| 1986	| Sega		| Out Run	| 					|
| outrundxeh	|  	| Out Run (deluxe sitdown) (Enhanced Edition v1.0.3)	| outrun	| 2013	| hack (Chris Wh| Out Run	| 					|
| outrundxj	|  	| Out Run (Japan, deluxe sitdown, FD1089A 317-0019)	| outrun	| 1986	| Sega		| Out Run	| 					|
| outrunra	|  	| Out Run (sitdown/upright, Rev A)			| outrun	| 1986	| Sega		| Out Run	| 					|
| outrun	|  	| Out Run (sitdown/upright, Rev B)			| 		| 1986	| Sega		| Out Run	| 					|
| outruneh	|  	| Out Run (sitdown/upright, Rev B) (Enhanced Edition v2.| outrun	| 2017	| hack (Chris Wh| Out Run	| 					|
| outzone	|  	| Out Zone						| 		| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzoneh	|  	| Out Zone (harder)					| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzonea	|  	| Out Zone (old set)					| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzoneb	|  	| Out Zone (older set)					| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzonec	|  	| Out Zone (oldest set)					| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzonecv	|  	| Out Zone (Zero Wing TP-015 PCB conversion)		| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| overtop	|  	| Over Top						| 		| 1996	| ADK		| Neo Geo MVS	| 					|
| ozmawars	|  	| Ozma Wars (set 1)					| 		| 1979	| SNK		| Miscellaneous	| 					|
| ozmawars2	|  	| Ozma Wars (set 2)					| ozmawars	| 1979	| SNK		| Miscellaneous	| 					|
| ozon1		|  	| Ozon I						| 		| 1983	| Proma		| Galaxian	| 					|
| p47j		|  	| P-47 - The Freedom Fighter (Japan)			| p47		| 1988	| Jaleco	| Mega System 1	| 					|
| p47je		|  	| P-47 - The Freedom Fighter (Japan, Export)		| p47		| 1988	| Jaleco	| Mega System 1	| 					|
| p47		|  	| P-47 - The Phantom Fighter (World)			| 		| 1988	| Jaleco	| Mega System 1	| 					|
| pgemeni	|  	| P-GeMeni (060123)					| 		| 2006	| blastar@gmx.ne| PolyGameMaster| 					|
| pow		|  	| P.O.W. - Prisoners of War (US version 1)		| 		| 1988	| SNK		| Miscellaneous	| 					|
| pacnpal	|  	| Pac & Pal						| 		| 1983	| Namco		| Miscellaneous	| 					|
| pacnpal2	|  	| Pac & Pal (older)					| pacnpal	| 1983	| Namco		| Miscellaneous	| 					|
| pacgal	|  	| Pac-Gal						| mspacman	| 1981	| hack		| Pac-man	| 					|
| paclandm2	|  	| Pac-Land (Bally-Midway)				| pacland	| 1984	| Namco (Bally M| Miscellaneous	| 					|
| paclandj	|  	| Pac-Land (Japan new)					| pacland	| 1984	| Namco		| Miscellaneous	| 					|
| paclandjo	|  	| Pac-Land (Japan old)					| pacland	| 1984	| Namco		| Miscellaneous	| 					|
| paclandjo2	|  	| Pac-Land (Japan older)				| pacland	| 1984	| Namco		| Miscellaneous	| 					|
| paclandm	|  	| Pac-Land (Midway)					| pacland	| 1984	| Namco (Bally M| Miscellaneous	| 					|
| pacland	|  	| Pac-Land (World)					| 		| 1984	| Namco		| Miscellaneous	| 					|
| pacnchmp	|  	| Pac-Man & Chomp Chomp					| pacnpal	| 1983	| Namco		| Miscellaneous	| 					|
| pacmanvg	|  	| Pac-Man (bootleg, Video Game SA)			| puckman	| 1980	| bootleg (Video| Pac-man	| 					|
| pacmanbl	|  	| Pac-Man (Galaxian hardware, set 1)			| puckman	| 1981	| bootleg	| Galaxian	| 					|
| pacmanbla	|  	| Pac-Man (Galaxian hardware, set 2)			| puckman	| 1981	| bootleg	| Galaxian	| 					|
| pacheart	|  	| Pac-Man (Hearts)					| puckman	| 1981	| hack		| Pac-man	| 					|
| pacman	|  	| Pac-Man (Midway)					| puckman	| 1980	| Namco (Midway | Pac-man	| 					|
| pacmod	|  	| Pac-Man (Midway, harder)				| puckman	| 1981	| [Namco] (Midwa| Pac-man	| 					|
| pacmanf	|  	| Pac-Man (Midway, with speedup hack)			| puckman	| 1980	| Namco (Midway | Pac-man	| 					|
| pacmanso	|  	| Pac-Man (SegaSA / Sonic)				| puckman	| 1980	| Namco (Sonic l| Pac-man	| 					|
| 25pacmano	|  	| Pac-Man - 25th Anniversary Edition (Rev 2.00)		| 25pacman	| 2005	| Namco / Cosmod| Miscellaneous	| 					|
| 25pacman	|   NW	| Pac-Man - 25th Anniversary Edition (Rev 3.00)		| 		| 2006	| Namco / Cosmod| Miscellaneous	| 					|
| pacplus	|  	| Pac-Man Plus						| 		| 1982	| [Namco] (Midwa| Pac-man	| 					|
| pacmania	|  	| Pac-Mania						| 		| 1987	| Namco		| System 1	| 					|
| pacmaniao	|  	| Pac-Mania (111187 sound program)			| pacmania	| 1987	| Namco		| System 1	| 					|
| pacmaniaj	|  	| Pac-Mania (Japan)					| pacmania	| 1987	| Namco		| System 1	| 					|
| sxyreact	|  	| Pachinko Sexy Reaction (Japan)			| 		| 1998	| Sammy		| SSV		| 					|
| sxyreac2	|  	| Pachinko Sexy Reaction 2 (Japan)			| 		| 1999	| Sammy		| SSV		| 					|
| packbang	|  	| Pack'n Bang Bang (Prototype)				| 		| 1994	| Kaneko	| Kaneko16	| 					|
| packetman	|  	| Packetman (bootleg)					| puckman	| 1980	| bootleg	| Pac-man	| 					|
| pacominv	| D	| Pacom Invader						| beaminv	| 1979	| Pacom Corporat| Miscellaneous	| No sound				|
| pacuman	|  	| Pacu-Man (Spanish bootleg of Puck Man)		| puckman	| 1980	| bootleg (Recre| Pac-man	| 					|
| paddle2	|  	| Paddle 2 (bootleg on Block hardware)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| paddlema	|  	| Paddle Mania						| 		| 1988	| SNK		| Miscellaneous	| 					|
| samsho4k	|  	| Pae Wang Jeon Seol / Legend of a Warrior (Korean censo| samsho4	| 1996	| SNK		| Neo Geo MVS	| 					|
| paintrlr	|  	| Paint Roller						| crush		| 1981	| bootleg	| Pac-man	| 					|
| pairsa	|  	| Pairs (V1, 09/07/94)					| pairs		| 1994	| Strata/Incredi| Miscellaneous	| 					|
| pairs		|  	| Pairs (V1.2, 09/30/94)				| 		| 1994	| Strata/Incredi| Miscellaneous	| 					|
| pairlove	|  	| Pairs Love						| 		| 1991	| Athena	| Seta		| 					|
| pairsred	|  	| Pairs Redemption (V1.0, 10/25/94)			| 		| 1994	| Strata/Incredi| Miscellaneous	| 					|
| pajaroes	|  	| Pajaro del Espacio (Spanish bootleg of UniWar S)	| uniwars	| 1980	| bootleg (PSV S| Galaxian	| 					|
| palamedj	|  	| Palamedes (Japan)					| palamed	| 1990	| Taito Corporat| Taito L System| 					|
| palamed	|  	| Palamedes (US)					| 		| 1990	| Hot-B Co., Ltd| Taito L System| 					|
| pandoras	|  	| Pandora's Palace					| 		| 1984	| Konami / Inter| GX328		| 					|
| pangb		|  	| Pang (bootleg, set 1)					| pang		| 1989	| bootleg	| Miscellaneous	| 					|
| pangbold	|  	| Pang (bootleg, set 2)					| pang		| 1989	| bootleg	| Miscellaneous	| 					|
| pangb2	|  	| Pang (bootleg, set 4)					| pang		| 1989	| bootleg	| Miscellaneous	| 					|
| pangbold2	|  	| Pang (bootleg, set 5)					| pang		| 1990	| bootleg	| Miscellaneous	| 					|
| pangbold3	|  	| Pang (bootleg, set 6)					| pang		| 1989	| bootleg	| Miscellaneous	| 					|
| pang		|  	| Pang (World)						| 		| 1989	| Mitchell	| Miscellaneous	| 					|
| pangpang	|  	| Pang Pang						| 		| 1994	| Dong Gue La Mi| Miscellaneous	| 					|
| pangpoms	|  	| Pang Pom's						| 		| 1992	| Metro		| Miscellaneous	| 					|
| pangpomsm	|  	| Pang Pom's (Mitchell)					| pangpoms	| 1992	| Metro (Mitchel| Miscellaneous	| 					|
| pang3r1	|  	| Pang! 3 (950511 Euro)					| pang3		| 1995	| Mitchell	| CPS1		| 					|
| pang3r1a	|  	| Pang! 3 (950511 Euro, alt)				| pang3		| 1995	| Mitchell	| CPS1		| 					|
| pang3		|  	| Pang! 3 (950601 Euro)					| 		| 1995	| Mitchell	| CPS1		| 					|
| pang3b	|  	| Pang! 3 (bootleg set 1, 950511 Euro)			| pang3		| 1995	| Mitchell	| CPS1		| 					|
| pang3b2	|  	| Pang! 3 (bootleg set 2, 950511 Euro)			| pang3		| 1995	| Mitchell	| CPS1		| 					|
| pang3b3	|  	| Pang! 3 (bootleg set 3, 950601 Euro)			| pang3		| 1995	| Mitchell	| CPS1		| 					|
| pang3j	|  	| Pang! 3: Kaitou Tachi no Karei na Gogo (950511 Japan)	| pang3		| 1995	| Mitchell	| CPS1		| 					|
| panicbom	|  	| Panic Bomber						| 		| 1994	| Eighting / Hud| Neo Geo MVS	| 					|
| panicstr	|  	| Panic Street (Japan)					| 		| 1999	| Kaneko	| Super Kaneko N| 					|
| paprazzi	|  	| Paparazzi						| 		| 1996	| Yun Sung	| Yun Sung 16 Bi| 					|
| pturn		|  	| Parallel Turn						| 		| 1984	| Jaleco	| Miscellaneous	| 					|
| parodiusa	|  	| Parodius DA! (Asia)					| parodius	| 1990	| Konami	| GX955		| 					|
| parodiusj	|  	| Parodius DA! (Japan)					| parodius	| 1990	| Konami	| GX955		| 					|
| parodius	|  	| Parodius DA! (World, set 1)				| 		| 1990	| Konami	| GX955		| 					|
| parodiuse	|  	| Parodius DA! (World, set 2)				| parodius	| 1990	| Konami	| GX955		| 					|
| prtytime	|  	| Party Time: Gonta the Diver II / Ganbare! Gonta!! 2 (W| 		| 1995	| Mitchell	| Simple 156	| 					|
| ppchamp	|  	| Pasha Pasha Champ Mini Game Festival			| gotcha	| 1997	| Dongsung	| Miscellaneous	| 					|
| pass		|  	| Pass							| 		| 1992	| Oksan		| Miscellaneous	| 					|
| passshtb	| D NW	| Passing Shot (bootleg, 2 Players)			| passsht	| 1988	| Sega		| System 16B	| 					|
| passshtjd	|  	| Passing Shot (Japan, 4 Players, FD1094 317-0070 decryp| passsht	| 1988	| Sega		| System 16B	| 					|
| passshtj	|  	| Passing Shot (Japan, 4 Players, FD1094 317-0070)	| passsht	| 1988	| Sega		| System 16B	| 					|
| passsht16a	|  	| Passing Shot (Japan, 4 Players, System 16A, FD1094 317| passsht	| 1988	| Sega		| System 16A	| 					|
| passshtd	|  	| Passing Shot (World, 2 Players, FD1094 317-0080 decryp| passsht	| 1988	| Sega		| System 16B	| 					|
| passsht	|  	| Passing Shot (World, 2 Players, FD1094 317-0080)	| 		| 1988	| Sega		| System 16B	| 					|
| passshtad	|  	| Passing Shot (World, 4 Players, FD1094 317-0074 decryp| passsht	| 1988	| Sega		| System 16B	| 					|
| passshta	|  	| Passing Shot (World, 4 Players, FD1094 317-0074)	| passsht	| 1988	| Sega		| System 16B	| 					|
| pastelis	|  	| Pastel Island (Japan, prototype)			| 		| 1993	| Visco		| SSV		| 					|
| patapata	|  	| Pata Pata Panic					| 		| 1993	| Atlus		| Miscellaneous	| 					|
| peekaboo	|  	| Peek-a-Boo!						| 		| 1993	| Jaleco	| Mega System 1	| 					|
| peekaboou	|  	| Peek-a-Boo! (North America, ver 1.0)			| peekaboo	| 1993	| Jaleco	| Mega System 1	| 					|
| pengob	|  	| Pengo (bootleg)					| pengo		| 1982	| Bootleg	| Pac-man	| 					|
| pengo		|  	| Pengo (set 1 rev c)					| 		| 1982	| Sega		| Pac-man	| 					|
| pengo2u	|  	| Pengo (set 2 not encrypted)				| pengo		| 1982	| Sega		| Pac-man	| 					|
| pengo2	|  	| Pengo (set 2)						| pengo		| 1982	| Sega		| Pac-man	| 					|
| pengo3u	|  	| Pengo (set 3 not encrypted)				| pengo		| 1982	| Sega		| Pac-man	| 					|
| pengo4	|  	| Pengo (set 4)						| pengo		| 1982	| Sega		| Pac-man	| 					|
| pengo5	|  	| Pengo (set 5)						| pengo		| 1982	| Sega		| Pac-man	| 					|
| pengadvb	|  	| Penguin Adventure (bootleg of MSX version)		| 		| 1988	| bootleg (Scree| Miscellaneous	| 					|
| penbros	|  	| Penguin Brothers (Japan)				| 		| 2000	| Subsino	| Newer Seta	| 					|
| pkunwarj	|  	| Penguin-Kun Wars (Japan)				| pkunwar	| 1985	| UPL		| Miscellaneous	| 					|
| pkunwar	|  	| Penguin-Kun Wars (US)					| 		| 1985	| UPL		| Miscellaneous	| 					|
| penta		|  	| Penta							| pengo		| 1982	| Bootleg	| Pac-man	| 					|
| pbillrd	|  	| Perfect Billiard					| 		| 1987	| Nihon System	| Miscellaneous	| 					|
| pbillrdsa	|  	| Perfect Billiard (MC-8123, 317-5008)			| pbillrd	| 1987	| Nihon System	| Miscellaneous	| 					|
| psoldier	|  	| Perfect Soldiers (Japan)				| ssoldier	| 1993	| Irem		| Irem M92	| 					|
| perfrman	|  	| Performan (Japan)					| 		| 1985	| Toaplan / Data| Miscellaneous	| 					|
| perfrmanu	|  	| Performan (US)					| perfrman	| 1985	| Toaplan / Data| Miscellaneous	| 					|
| pestplce	|  	| Pest Place						| mario		| 1983	| bootleg	| Miscellaneous	| 					|
| ppan		|  	| Peter Pan (bootleg of Hook)				| hook		| 1992	| bootleg	| Irem M92	| 					|
| cppicf	|  	| Peter Pepper's Ice Cream Factory (DECO Cassette) (US) | 		| 1984	| Data East Corp| Cassette Syste| 					|
| cppicf2	|  	| Peter Pepper's Ice Cream Factory (DECO Cassette) (US) | cppicf	| 1984	| Data East Corp| Cassette Syste| 					|
| pettanp	|  	| Pettan Pyuu (Japan)					| banbam	| 1984	| Sun Electronic| Miscellaneous	| 					|
| pgm		|   NW	| PGM (Polygame Master) System BIOS			| 		| 1997	| IGS		| PolyGameMaster| BIOS only				|
| phantasm	|  	| Phantasm (Japan)					| avspirit	| 1990	| Jaleco	| Mega System 1	| 					|
| phelios	|  	| Phelios						| 		| 1988	| Namco		| System 2	| 					|
| pheliosj	|  	| Phelios (Japan)					| phelios	| 1988	| Namco		| System 2	| 					|
| phoenix	|  	| Phoenix (Amstar)					| 		| 1980	| Amstar	| Miscellaneous	| 					|
| phoenix2	|  	| Phoenix (Amstar, set 2)				| phoenix	| 1980	| Amstar	| Miscellaneous	| 					|
| phoenixass	|  	| Phoenix (Assa, Spanish bootleg)			| phoenix	| 1981	| bootleg (Assa)| Miscellaneous	| 					|
| phoenixa	|  	| Phoenix (Centuri, set 1)				| phoenix	| 1980	| Amstar (Centur| Miscellaneous	| 					|
| phoenixb	|  	| Phoenix (Centuri, set 2)				| phoenix	| 1980	| Amstar (Centur| Miscellaneous	| 					|
